sID,Bangla,IPA,Dekhabet,Tokens
10023,সোনিয়া মৌমিতা,so.ni.ja mou.mi.t̪a ,soniea moumita ,"[10, 4, 15, 3, 2, 1, 0, 14, 4, 5, 14, 3, 11, 1, 0]"
10024,"কাউখালী, পিরোজপুর",ka.u.kʰa.li pi.roɟ.pur ,kaukhali pirojpur ,"[18, 1, 5, 18, 9, 1, 13, 3, 0, 7, 3, 16, 4, 12, 7, 5, 16, 0]"
10046,মো আবদুল আলীম,mo.ham.mɔd̪ ab.d̪ul a.lim ,mohammod abdul alim ,"[14, 4, 9, 1, 14, 14, 4, 17, 0, 1, 8, 17, 5, 13, 0, 1, 13, 3, 14, 0]"
10047,"কিশোরগঞ্জ, নীলফামারী",ki.ʃor.gɔnɟ ni.lɔ.pʰa.ma.ri ,kishorgonj nilophamari ,"[18, 3, 21, 4, 16, 6, 4, 15, 12, 0, 15, 3, 13, 4, 7, 9, 1, 14, 1, 16, 3, 0]"
10049,ক্রীড়া প্রতিবেদক,kri.ɾa pro.t̪i.be.d̪ok ,krira protibedok ,"[18, 16, 3, 16, 1, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10074,তা অবশ্য হলো না,t̪a ɔ.boʃ.ʃo ho.lo na ,ta oboshsho holo na ,"[11, 1, 0, 4, 8, 4, 21, 21, 4, 0, 9, 4, 13, 4, 0, 15, 1, 0]"
10169,এখানেই বুশের বিপত্তি,e.kʰa.nei bu.ʃer bi.pot̪.t̪i ,ekhanei busher bipotti ,"[2, 18, 9, 1, 15, 2, 3, 0, 8, 5, 21, 2, 16, 0, 8, 3, 7, 4, 11, 11, 3, 0]"
10202,সামরিক বিশ্লেষক,ʃa.mo.rik bis.sle.ʃɔk ,shamorik bissleshok ,"[21, 1, 14, 4, 16, 3, 18, 0, 8, 3, 10, 10, 13, 2, 21, 4, 18, 0]"
10226,শওকত হোসেন মাসুম,ʃɔo.kɔt̪ ho.sen ma.sum ,shookot hosen masum ,"[21, 4, 4, 18, 4, 11, 0, 9, 4, 10, 2, 15, 0, 14, 1, 10, 5, 14, 0]"
10249,তাদের লাভও বেশি,t̪a.d̪er labʰ.o be.ʃi ,tader labho beshi ,"[11, 1, 17, 2, 16, 0, 13, 1, 8, 9, 4, 0, 8, 2, 21, 3, 0]"
10371,তবে খেতে ভালো,t̪ɔ.be kʰe.t̪e bʰa.lo ,tobe khete bhalo ,"[11, 4, 8, 2, 0, 18, 9, 2, 11, 2, 0, 8, 9, 1, 13, 4, 0]"
10373,ঢেঁড়শ ৮০ টাকা,dʰæ̃.ɾoʃ a.ʃi ta.ka ,dherosh ashi taka ,"[17, 9, 2, 16, 4, 21, 0, 1, 21, 3, 0, 11, 1, 18, 1, 0]"
10385,আনিস রহমান,a.nis rɔ.ho.man ,anis rohoman ,"[1, 15, 3, 10, 0, 16, 4, 9, 4, 14, 1, 15, 0]"
10416,আরিফুর রহমান,a.ri.pʰur rɔ.ho.man ,ariphur rohoman ,"[1, 16, 3, 7, 9, 5, 16, 0, 16, 4, 9, 4, 14, 1, 15, 0]"
10449,এটা কমাতে হবে,e.ta kɔ.ma.t̪e hɔ.be ,eta komate hobe ,"[2, 11, 1, 0, 18, 4, 14, 1, 11, 2, 0, 9, 4, 8, 2, 0]"
10507,এ কোন বর্বরতা,e kon bɔrb.bɔ.ro.t̪a ,e kon borbborota ,"[2, 0, 18, 4, 15, 0, 8, 4, 16, 8, 8, 4, 16, 4, 11, 1, 0]"
10647,প্রথম আলো ডেস্ক,pro.t̪ʰom a.lo desk ,prothom alo desk ,"[7, 16, 4, 11, 9, 4, 14, 0, 1, 13, 4, 0, 17, 2, 10, 18, 0]"
10665,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10679,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10687,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10698,এটা তারা মানেন না,e.ta t̪a.ra ma.nen na ,eta tara manen na ,"[2, 11, 1, 0, 11, 1, 16, 1, 0, 14, 1, 15, 2, 15, 0, 15, 1, 0]"
10704,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10714,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10722,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10730,পুলিশও পাল্টা গুলি চালায়,pu.liʃ pal.ta gu.li ca.laj ,pulish palta guli chalae ,"[7, 5, 13, 3, 21, 0, 7, 1, 13, 11, 1, 0, 6, 5, 13, 3, 0, 20, 1, 13, 1, 2, 0]"
10738,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10749,নিজস্ব প্রতিবেদক,ni.ɟɔʃ.ʃo pro.t̪i.be.d̪ok ,nijoshsho protibedok ,"[15, 3, 12, 4, 21, 21, 4, 0, 7, 16, 4, 11, 3, 8, 2, 17, 4, 18, 0]"
10785,বগুড়ায় ৩২ টাকা,bo.gu.ɾaj bot̪.t̪riʃ ta.ka ,bogurae bottrish taka ,"[8, 4, 6, 5, 16, 1, 2, 0, 8, 4, 11, 11, 16, 3, 21, 0, 11, 1, 18, 1, 0]"
10792,কনুইয়ে ভর রেখে,ko.nui.je bʰɔr re.kʰe ,konuiee bhor rekhe ,"[18, 4, 15, 5, 3, 2, 2, 0, 8, 9, 4, 16, 0, 16, 2, 18, 9, 2, 0]"
10798,ওয়েবসাইট,o.jeb.sa.it ,oeebsait ,"[4, 2, 2, 8, 10, 1, 3, 11, 0]"
10806,ওয়েবসাইট,o.jeb.sa.it ,oeebsait ,"[4, 2, 2, 8, 10, 1, 3, 11, 0]"
10807,মনবাড়ি,mon.ba.ɾi ,monbari ,"[14, 4, 15, 8, 1, 16, 3, 0]"
10808,আমার বয়স ২৩,a.mar bɔj.oʃ t̪e.iʃ ,amar boeosh teish ,"[1, 14, 1, 16, 0, 8, 4, 2, 4, 21, 0, 11, 2, 3, 21, 0]"
10818,"নীলা, ঢাকা",ni.la dʰa.ka ,nila dhaka ,"[15, 3, 13, 1, 0, 17, 9, 1, 18, 1, 0]"
10840,আমি কি করব,a.mi ki kor.bo ,ami ki korbo ,"[1, 14, 3, 0, 18, 3, 0, 18, 4, 16, 8, 4, 0]"
10850,সেটাই খুঁজুন,ʃe.tai kʰũ.ɟun ,shetai khujun ,"[21, 2, 11, 1, 3, 0, 18, 9, 5, 12, 5, 15, 0]"
10861,সিকোয়েন্স ১,si.ko.jens æk ,sikoeens ek ,"[10, 3, 18, 4, 2, 2, 15, 10, 0, 2, 18, 0]"
10863,কেন যে এমনটা হলো,kæ.no ɟe æ.mon.ta ho.lo ,keno je emonta holo ,"[18, 2, 15, 4, 0, 12, 2, 0, 2, 14, 4, 15, 11, 1, 0, 9, 4, 13, 4, 0]"
